,Start,End
0,2019-09-07 22:58:21.604113,2019-09-07 22:58:21.661955
1,2019-09-07 22:58:25.264230,2019-09-07 22:58:26.046507
2,2019-09-07 22:58:26.463188,2019-09-07 22:58:26.644015
3,2019-09-07 22:58:26.948567,2019-09-07 22:58:27.056278
4,2019-09-07 22:58:27.295636,2019-09-07 22:58:28.689410
5,2019-09-07 22:58:28.738286,2019-09-07 22:58:29.104581
6,2019-09-07 22:58:29.172049,2019-09-07 22:58:29.344491
7,2019-09-07 22:58:29.411329,2019-09-07 22:58:29.455948
8,2019-09-07 22:58:30.719045,2019-09-07 22:58:32.404394
9,2019-09-07 22:58:32.480191,2019-09-07 22:58:32.767721
10,2019-09-07 22:58:32.880414,2019-09-07 22:58:33.012063
11,2019-09-07 22:58:34.686860,2019-09-07 22:58:35.710889
12,2019-09-07 22:58:36.677496,2019-09-07 22:58:37.023587
13,2019-09-07 22:58:37.151762,2019-09-07 22:58:37.202147
14,2019-09-07 22:58:37.326664,2019-09-07 22:58:38.768297
15,2019-09-07 22:58:39.076180,2019-09-07 22:58:39.486629
16,2019-09-07 22:58:39.551454,2019-09-07 22:58:39.605568
17,2019-09-07 22:58:39.791591,2019-09-07 22:58:42.191127
18,2019-09-07 22:58:42.495729,2019-09-07 22:58:42.611292
19,2019-09-07 22:58:42.847544,2019-09-07 22:59:07.454045
20,2019-09-07 22:59:07.519105,2019-09-07 22:59:07.582404
21,2019-09-07 22:59:08.659605,2019-09-07 22:59:08.723688
